SN,District,Municipality,Ward Number,Town/Village Name,Tole,Latitude,Longitude,Source Name,Source Type,Ownership,Surrounding Environment (Landuse),Plant Species around Water Source,Source Condition,Perennial / Seasonal,Dried since how many years?,Reason of drying,"After this source dried up , was there any activity for revival done in this source?",List the activities done for source revival,What was done after source was dried up?,Source Condition,Nature of discharge,Water emergence point,"Volume of bucket /bottle (1, 2, 5, 10 or 20 litre)",Time to fill (seconds),Approx. distance from the nearest dependent household (metre),One-way water fetching time (minutes),How much time did it take to fill the Jar of 20 liter before 10 yr? (minutes),Current time to fill 20 liter jar (minutes),Trend of spring discharge,Pond area (square metre),Pond depth (metre),Pond area 10 years earlier (square metre),Pond depth10 years earlier (metre),Perception on source water quality,Perception on source water quality change,Is this source in use?,Purpose of use,No. of households dependent on this source,Ethnicity of users,No. of households dependent on this source only,Ethnicity of users dependent on this source only,Any impact due to 2015 earthquake?,Is this source tapped?,Supplied to same Municipality or different?,Supplied to same ward or different wards?,Is water source significant for cultural/religious purpose?,List the events associated with sources,Is this source accessible to everyone in community? (in term of use access),If not who are restricted?,Are there water user groups for management?,User group type,Who is the chairperson?,Women in leadership position,Any spring revival / pond protection measures taken?,What measures have been taken?,Remarks (source specific comment)
67,Kavrepalanchowk,Namobuudha,5,नमोबुद्व नगरपालिका,लासकोट,27.53734275,85.70296683,जयानि,spring,public,sparse_forest,"पिपल,उनिउ,उतिस।",active,perennial,,,,,,open_kuwa,seepage,interface between rock and sediment,2,30,200,30,5,10,decreasing,,,,,poor,no_change,yes,"drinking,livestock,household",20,Janajati,,,no_change,no,,,no,,yes,,yes,informal,female,chair,no,,
68,Kavrepalanchowk,Namobuudha,6,नमोबुद्दनगरपालिका,खाक्सी ज्यामिरे,27.5153034,85.6243753,कुवा,spring,public,sparse_forest,"ऑप,पिपल,बर",active,perennial,,,,,,open_kuwa,seepage,interface between rock and sediment,5,180,90,15,3,10,decreasing,,,,,good,no_change,yes,Drinking,20,"Newar, Janajaati",,,Degraded,no,,,no,,yes,,no,,,,no,,
69,Kavrepalanchowk,Namobuudha,2,Fulbari ,Jureli thumka ,27.58541737,85.62224085,कालि दह कुवा ,spring,community,sparse_forest,सल्ला चिलाउने तिमिला,active,perennial,,,,,,open_kuwa,flowing,soil/sediment,12,300,200,20,5,5,same,,,,,poor,no_change,yes,"household,livestock",3,Dalit,,,no_change,no,,,no,,yes,,no,,,,No,,
70,Kavrepalanchowk,Namobuudha,8,Pipaltar ,Pipaltar,27.5131106,85.6164857,Tundysyong,spring,public,grassland,"Uniu, sisnu,Asuro ",active,perennial,,,,,,open_kuwa,flowing,interface between rock and sediment,2.5,21,600,25,2,4,decreasing,,,,,excellent,no_change,yes,"drinking,livestock,agriculture",105,Janajati,,,Degraded,no,,,no,,yes,,no,,,,no,,
71,Kavrepalanchowk,Namobuudha,8,Pipaltar ,Pipaltar ,27.51501263,85.61462165,Mayang wati ,spring,community,sparse_forest,"Asuro, tuni simal ",active,perennial,,,,,,open_kuwa,seepage,rock,5,200,10,10,4,2,increasing,,,,,good,no_change,no,,,,,,no_change,yes,same,same,yes,Pahila pahila yo pani okhati ka rupama chalaenthyo ,yes,,no,,,,no,,
72,Kavrepalanchowk,Namobuudha,8,Darimbot ,Darimbot ,27.5195205,85.61468058,Darimbotko barko rukhmuniko kuwa ,spring,public,dense_forest,"Sisnu ,Asuro ,utis ",dried,seasonal,2072,Earthquake,no,,tanker_dependence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Kavrepalanchowk,Namobuudha,8,Darimbot ,Darimbot,27.5195942,85.61510278,Jambu kuwa ,spring,public,dense_forest,"Jambu, utis ,katus ",active,perennial,,,,,,closed_kuwa,seepage,rock,5,600,800,15,10,10,same,,,,,good,no_change,yes,"drinking,livestock,religious_purpose",60,Mixed,,,no_change,no,,,yes,"Jhakri dhyan ,",yes,,no,,,,no,,
74,Kavrepalanchowk,Namobuudha,6,Charangefadi,Belbot,27.52491167,85.66295833,Chharchare,spring,community,sparse_forest,"Banso, fadil, uniu",active,perennial,,,,,,tap,seepage,soil/sediment,1,12,200,10,4,4,same,,,,,good,no_change,yes,"drinking,livestock,household",20,"BCTS,Newar",,,no_change,no,,,no,,yes,,no,,,,yes,source_protection,
75,Kavrepalanchowk,Namobuudha,11,Dhodari,Dhodari,27.5667632,85.57984058,Dhodari kuwa,spring,community,sparse_forest,"Basgari, chilaune, timila",active,seasonal,,,,,,closed_kuwa,seepage,soil/sediment,1,60,150,30,0,20,increasing,,,,,good,no_change,yes,"drinking,household,livestock",7,Mixed,,,no_change,no,,,no,,yes,,no,,,,no,,
76,Kavrepalanchowk,Namobuudha,8,Narayan kuwa ,Narayan kuwa dapcha ,27.56213145,85.63788452,Narayan kuwa ,spring,public,grassland,"Khanayo, timila ,",active,perennial,,,,,,closed_kuwa,seepage,rock,20,900,10,4,4,8,decreasing,,,,,excellent,improved,yes,"livestock,drinking,household",65,Mixed,,,Degraded,no,,,yes,Narayan puja ,yes,,no,,,,no,,
77,Kavrepalanchowk,Namobuudha,9,Lamadada,Hyongan tol,27.54398127,85.60609923,Hyongan kuwa,spring,public,sparse_forest,"Utish,banmara,nigalo",active,perennial,,,,,,closed_kuwa,flowing,interface between rock and sediment,2.5,120,100,10,5,16,decreasing,,,,,excellent,no_change,yes,drinking,30,"Janajati,Newar",,,Degraded,no,,,no,,yes,,no,,,,yes,source_protection,
78,Kavrepalanchowk,Namobuudha,6,Dhuwakotl,no,27.52683,85.65915667,Okhlya pokari,pond,community,grassland,"Simal, seto banmara, kaash",dried,perennial,2060,Infrastructure Development,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Kavrepalanchowk,Namobuudha,6,Duwakot,Pauwa,27.52147,85.65207,Bhanjyng kuwa,spring,community,fallow,"Utis, kalimunti, pipal",dried,perennial,2065,Reduced Precipitation,no,,"new_source_identification,water_lifting,rainwater_harvesting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Kavrepalanchowk,Namobuudha,9,namobuddha .dapcha,dapcha chhatrabajha,27.55343333,85.60426,naage dhara,spring,community,agriculture,"उतिस,मयल,निगालो।",active,perennial,,,,,,tap,flowing,soil/sediment,2.5,20,70,8,3,3,same,,,,,excellent,no_change,yes,"agriculture,household",35,Mixed,,,Degraded,no,,,no,,yes,,no,,,,no,,
81,Kavrepalanchowk,Namobuudha,9,dapcha chhatrabaajha,dapcha purano gau,27.55341667,85.60446,naage kuwo,spring,community,sparse_forest,"निगालो,उतिस,बनमारा।",active,perennial,,,,,,closed_kuwa,seepage,soil/sediment,2,200,50,10,10,15,decreasing,,,,,good,no_change,yes,"household,agriculture",40,Mixed,,,Degraded,no,,,no,,yes,,no,,,,no,,
82,Kavrepalanchowk,Namobuudha,9,dapcha nageya chwoura,naageya tola,27.55312667,85.604395,naage chaur,spring,community,agriculture,"किमु,दुदिलो,पयेउ",active,perennial,,,,,,cemented_tank,seepage,soil/sediment,2,20,15,5,2,3,decreasing,,,,,good,no_change,yes,"drinking,household, agriculture,livestock, religious_purpose",30,Mixed,,,Degraded,yes,same,same,no,,yes,,no,,,,no,,
83,Kavrepalanchowk,Namobuudha,10,Baseri ,Tamang gaun,27.53761,85.592925,Tamang gaun khane pani,spring,public,sparse_forest,"uttis, kalimunti, ghangaru",active,perennial,,,,,,cemented_tank,seepage,soil/sediment,1,15,150,10,2,5,decreasing,,,,,good,no_change,yes,"drinking,household,livestock",38,Mixed,,,Degraded,yes,same,same,no,,yes,,no,,,,no,,
84,Kavrepalanchowk,Namobuudha,10,baseri,tamang gaun,27.541565,85.58881,baseri tamang gaun khanepani,spring,public,dense_forest,"Pitauli, Amala, Tuni",active,perennial,,,,,,closed_kuwa,seepage,rock,1,25,170,20,4,9,decreasing,,,,,good,no_change,yes,"drinking,household,livestock",10,Janajati,,,Degraded,no,,,no,,yes,,no,,,,no,,
85,Kavrepalanchowk,Namobuudha,10,Baseri,Tamang gaun,27.53669667,85.591425,Tamang gaun khanepani,spring,public,agriculture,"Kaalimunti,sisnu,timila",dried,perennial,2072,Earthquake,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Kavrepalanchowk,Namobuudha,5,नमोबुद्व नगरपालिका,कमेरे,27.56581777,85.69098008,सिमल चौउर,spring,public,sparse_forest,"कदम,सिमल,समिन।",active,perennial,,,,,,closed_kuwa,seepage,interface between rock and sediment,5,60,100,10,2,5,decreasing,,,,,good,no_change,yes,"drinking,household",29,Janajati,,,Degraded,yes,same,same,no,,yes,,no,,,,no,,
87,Kavrepalanchowk,Namobuudha,10,Baseri,Pathak tole,27.541575,85.58893,Pathak tole,spring,public,dense_forest,"utis,lakuri,sisnu",active,perennial,,,,,,open_kuwa,flowing,soil/sediment,1,12,400,30,2,4,decreasing,,,,,good,no_change,yes,"drinking,household,livestock,religious_purpose",15,"BCTS, Janajaati",,,Degraded,no,,,no,,yes,,no,,,,no,,
88,Kavrepalanchowk,Namobuudha,10,baseri,ghorasaine tole,27.53983333,85.58991333,ghorsaine tole khanepani,spring,public,sparse_forest,"katus,guras,chilaune",active,perennial,,,,,,cemented_tank,seepage,soil/sediment,1,73,100,10,7,24,decreasing,,,,,good,improved,yes,"drinking,household,livestock",20,"BCTS, Janajaati",,,Degraded,no,,,no,,yes,,no,,,,no,,
89,Kavrepalanchowk,Namobuudha,10,Simle,Sisnekhola tole,27.55052333,85.58862167,Sisnekhola khanepani,spring,private,sparse_forest,"Tuni,chilaune,utis",active,perennial,,,,,,cemented_tank,seepage,soil/sediment,1,180,5,2,20,60,decreasing,,,,,good,no_change,yes,"drinking,household,livestock,religious_purpose",5,Mixed,,,Degraded,no,,,no,,yes,,no,,,,no,,
90,Kavrepalanchowk,Namobuudha,10,Simle,Simle ,27.550265,85.59097833,Simle dhunge dhara,spring,public,fallow,"Kalimunte,dhursul,kantakari",dried,perennial,2073,Earthquake,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Kavrepalanchowk,Namobuudha,5,नमोबुद्व नगरपालिका,कमेरे  तललाे  टाेल,27.56888317,85.6891334,कामि कुवा,spring,public,grassland,"बनमार,उनिउ,अमला।",active,perennial,,,,,,stone_spout,seepage,soil/sediment,5,30,100,20,2,3,decreasing,,,,,good,no_change,yes,"drinking,household",20,Janajati,,,no_change,no,,,no,,yes,,no,,,,no,,
92,Kavrepalanchowk,Namobuudha,10,Simle,Gairidhara,27.553435,85.58982833,simle gairi dhara khane pani,spring,private,agriculture,"aiselu,tittepati,utish",active,perennial,,,,,,cemented_tank,seepage,soil/sediment,5,25,200,15,1,2,decreasing,,,,,good,improved,yes,"drinking,household,livestock,religious_purpose",30,Mixed,,,Degraded,yes,same,same,no,,yes,,no,,,,no,,
93,Kavrepalanchowk,Namobuudha,10,Simle,thapa tole,27.54987333,85.59329,thapa tole khanepani,spring,private,sparse_forest,"utis,chilaune,lapsi.",active,perennial,,,,,,cemented_tank,seepage,soil/sediment,1,12,200,15,2,3,decreasing,,,,,good,no_change,yes,"drinking,household,livestock,religious_purpose",11,BCTS,,,Degraded,yes,same,same,no,,yes,,no,,,,no,,
94,Kavrepalanchowk,Namobuudha,6,chaukidada,No,27.5267654,85.6592257, simdhara,spring,public,sparse_forest,"Utis, jaluko, pani amala",active,perennial,,,,,,open_kuwa,seepage,soil/sediment,1,60,20,8,5,20,decreasing,,,,,good,degraded,yes,"drinking,household,livestock",5,Janajati,,,Degraded,yes,same,same,no,,yes,,no,,,,no,,
95,Kavrepalanchowk,Namobuudha,10,Simle,Lahare,27.555385,85.59565167,Lahare khanipani,spring,private,sparse_forest,"Kalimunti,utis,amalaa.",active,perennial,,,,,,cemented_tank,seepage,soil/sediment,1,10,200,15,2,5,decreasing,,,,,good,improved,yes,"drinking,household,livestock,religious_purpose",25,Mixed,,,Degraded,yes,same,same,no,,yes,,no,,,,no,,
96,Kavrepalanchowk,Namobuudha,10,Simle,simle,27.55497,85.59519333,Lahare Mul,spring,public,agriculture,"kutmero,gogan,kalimunte.",active,perennial,,,,,,closed_kuwa,seepage,soil/sediment,1,60,150,10,20,8,decreasing,,,,,good,no_change,yes,"drinking,household,livestock",10,Mixed,,,Degraded,no,,,no,,yes,,no,,,,no,,
97,Kavrepalanchowk,Namobuudha,10,adhikari thum ,adhikari thum,27.55514833,85.598215,adhikari thum khanepani,spring,public,sparse_forest,"baans,hardbed,chilaune.",active,perennial,,,,,,dhungedharo,seepage,soil/sediment,1,60,125,10,10,20,decreasing,,,,,poor,no_change,yes,livestock,15,Mixed,,,Degraded,no,,,no,,yes,,no,,,,no,,
98,Kavrepalanchowk,Namobuudha,3,Nayabasti,NAyabasti,27.5669081,85.6352971,Nun dine chaurko mul,spring,public,agriculture,"chailuna, kaio, timlo",active,perennial,,,,,,closed_kuwa,seepage,rock,1,480,200,10,10,30,decreasing,,,,,good,improved,yes,"drinking,household,religious_purpose",10,"BCTS,Janajati,Dalit",,,Degraded,no,,,no,,yes,,no,,,,no,,
99,Kavrepalanchowk,Namobuudha,3,NAYNBASTI,LAMATOL,27.5669081,85.6352971,Thulosim,spring,public,dense_forest,ustis Chalona camunu,active,perennial,,,,,,open_kuwa,seepage,soil/sediment,1,180,600,30,2,1,increasing,,,,,good,improved,yes,"drinking,household",10,Janajati,,,Degraded,yes,same,same,no,,yes,,no,,,,yes,trench-pit,
100,Kavrepalanchowk,Namobuudha,3,paudalBasti,paudalbasti,27.5669081,85.6352971,goromare sim mul,spring,community,sparse_forest,"chilaune, sallo, Mauwa",active,perennial,,,,,,open_kuwa,seepage,rock,1,33,1000,60,1.5,2,decreasing,,,,,good,no_change,yes,drinking,20,BCTS,,,Degraded,yes,same,same,no,,yes,,no,,,,no,,
101,Kavrepalanchowk,Namobuudha,3,paudalbasti,paudalbasti,27.5669081,85.6352971,paudal basti mul,spring,public,agriculture,"fosro, chialane, khaniu",active,perennial,,,,,,cemented_tank,seepage,rock,1,480,100,20,30,40,decreasing,,,,,good,improved,yes,"drinking,household,livestock",40,"BCTS,Janajati",,,Degraded,no,,,no,,yes,,no,,,,no,,
102,Kavrepalanchowk,Namobuudha,3,poudel basti,poudel basti,27.5700721092656,85.6445244847546,Naag kunda,pond,community,agriculture,jamunu pati simali,active,perennial,,,,,,,,,,,,,,,,128,5,128,5,good,no_change,no,,,,,,,no,,,yes,Sawan-Shivaraatri-Mela laagch,yes,,yes,informal,male,vice_chair,yes,source_protection,
103,Kavrepalanchowk,Namobuudha,3,poudel bastipoudel,poudel basti,27.569896595117,85.6438523285304,Bhairab kunda,pond,community,agriculture,ghasako chaura,active,perennial,,,,,,,,,,,,,,,,160,8,190,10,good,improved,no,,,,,,,no,,,yes,Sawan-Shivaraatri-Mela laagch,yes,,yes,informal,male,vice_chair,yes,trench-pit,
104,Kavrepalanchowk,Namobuudha,3,mathikot BU S,PAUDALBASTI,27.5669081,85.6352971,Thulosim 2,spring,community,dense_forest,mayaa utiss chailana,dried,seasonal,2075,natural_disaster,no,,alternate source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Kavrepalanchowk,Namobuudha,3,NAYABASTI,NAYABASTI,27.5553027,85.6388301,opi mul,spring,public,dense_forest,"utish, Chaline, angeri",active,perennial,,,,,,cemented_tank,seepage,rock,1,180,100,10,30,35,decreasing,,,,,good,improved,no,"drinking,household,religious_purpose",25,"BCTS,Janajati,Dalit",,,Degraded,no,,,no,,yes,,no,,,,yes,source_protection,
106,Kavrepalanchowk,Namobuudha,10,adhikari thum,adhikari thum,27.55650333,85.59938,adhikari thum dhunge dhara.,spring,public,sparse_forest,"utis,baans,chilaune",active,perennial,,,,,,dhungedharo,seepage,soil/sediment,1,18,150,15,3,6,decreasing,,,,,good,no_change,yes,"drinking,household,livestock,religious_purpose",20,Mixed,,,Degraded,no,,,no,,yes,,no,,,,no,,
107,Kavrepalanchowk,Namobuudha,3,NAyabasti,NAyabasti,27.576793,85.6352971,chahare mul ,spring,public,dense_forest,"chilaaune, utis, banmara",active,seasonal,,,,,,open_kuwa,seepage,soil/sediment,1,45,200,20,180,200,decreasing,,,,,good,no_change,yes,livestock,1,BCTS,,,Degraded,yes,same,same,no,,yes,,no,,,,no,,
108,Kavrepalanchowk,Namobuudha,6,fadi tar,Baudai,27.516925,85.668785,Kalimati,spring,private,agriculture,"jaluko, khirro ,kytuke ",active,perennial,,,,,,open_kuwa,flowing,interface between rock and sediment,1,12,100,8,4,4,same,,,,,excellent,no_change,yes,"drinking,household,livestock",25,"BCTS,Janajati,Dalit",,,no_change,no,,,no,,yes,,no,,,,no,,
109,Kavrepalanchowk,Namobuudha,9,"Dapcha,chhatrebangh",Naghyetol,27.55334597,85.60436847,Naage kuwa(2),spring,public,grassland,"puwale,nigalo,utis",active,perennial,,,,,,closed_kuwa,seepage,interface between rock and sediment,2.5,180,50,6,10,24,decreasing,,,,,excellent,no_change,yes,drinking,30,Mixed,,,Degraded,no,,,no,,yes,,no,,,,no,,
110,Kavrepalanchowk,Namobuudha,6,नमोबुद्ध न पा खाक्सी,बेसि टोल,27.5179643,85.63230408,समुन्दे छहरा,spring,public,sparse_forest,"सल्ला,उतिस ",active,perennial,,,,,,open_kuwa,flowing,interface between rock and sediment,2.5,90,120,15,2,5,decreasing,,,,,good,no_change,yes,"drinking,household,livestock,agriculture",20,"Newar,Janajati",,,Degraded,yes,same,same,no,,yes,,no,,,,no,,
111,Kavrepalanchowk,Namobuudha,6,नमोबुद्द न पा खाक्सी,ज्यामिरे,27.51747417,85.63484489,पल्लो मुहान,spring,private,sparse_forest,"सिस्नु,खनौ,उतिस",active,seasonal,,,,,,open_kuwa,seepage,interface between rock and sediment,2.5,420,80,5,5,20,decreasing,,,,,good,degraded,no,,,,,,Degraded,yes,same,same,no,,yes,,no,,,,no,,
112,Kavrepalanchowk,Namobuudha,10,daregauda,Shikhar kateri tol,27.55286,85.618565,daregauda muldhu,spring,public,sparse_forest,dhudilo utis nigalo,active,perennial,,,,,,tap,seepage,soil/sediment,1,10,200,15,2,3,decreasing,,,,,good,no_change,no,,,,,,Degraded,no,,,no,,yes,,no,,,,no,,
113,Kavrepalanchowk,Namobuudha,10,daregauda,sama tol khanipani,27.553235,85.61852,vanggalea mul,spring,public,sparse_forest,okhar lapsi nigalo,active,perennial,,,,,,closed_kuwa,seepage,soil/sediment,1,60,300,30,9,20,decreasing,,,,,good,no_change,no,,,,,,Degraded,yes,same,same,no,,yes,,no,,,,no,,
114,Kavrepalanchowk,Namobuudha,10,daregauda,sikharkateari tol,27.55315833,85.61849333,sikhar kateri khani pani,spring,public,sparse_forest,pau bas khanu,active,perennial,,,,,,open_kuwa,seepage,soil/sediment,1,20,200,20,3,6,decreasing,,,,,good,no_change,no,,,,,,Degraded,no,,,no,,yes,,no,,,,no,,
115,khavreapalanchokdare,Namobuudha,10,daregauda,khudk tol,27.55350667,85.61846833,khudk tol mul,spring,public,sparse_forest,bas siris gogan,active,perennial,,,,,,cemented_tank,seepage,rock,1,60,500,50,8,20,decreasing,,,,,good,no_change,yes,"drinking,household,livestock",44,BCTS,,,Degraded,yes,same,same,no,,yes,,no,,,,no,,
116,Kavrepalanchowk,Namobuudha,10,daregauda,samma.tol,27.555385,85.61859333,samma tol mul,spring,public,sparse_forest,bas.timilo,active,perennial,,,,,,cemented_tank,seepage,soil/sediment,1,5,200,10,1,2,decreasing,,,,,good,no_change,yes,"drinking,household,livestock",40,"BCTS,Dalit",,,Degraded,yes,same,same,no,,yes,,yes,informal,male,vice_chair,no,,
117,Kavrepalanchowk,Namobuudha,7,धाराखाेल्साे,चौरेलि टाेल,27.54432333,85.63430833,कुवा,spring,community,agriculture,"खिर्राे ,उतिस,हाडेबयर",active,perennial,,,,,,open_kuwa,flowing,interface between rock and sediment,1,35,100,5,5,9,decreasing,,,,,poor,improved,yes,agriculture,20,Mixed,,,Improved,no,,,no,,yes,,no,,,,yes,source_protection,
118,Kavrepalanchowk,Namobuudha,7,खनालथाेक,"तेर्साटाेल,छापटाेल,पिपलचौर",27.54410667,85.63386,ठुलधारा,spring,community,agriculture,"हाडेबयर,उतिस, सिस्नु",active,perennial,,,,,,stone_spout,flowing,interface between rock and sediment,8,50,200,8,1,2,decreasing,,,,,excellent,Same,yes,"drinking,livestock,household,agriculture,religious_purpose",60,Mixed,,,Improved,no,,,yes,"बार्षिक भजन,साउन पुजा,तिजपन्चमि",yes,,no,,,,yes,"plantation,source_protection",
119,Kavrepalanchowk,Namobuudha,7,पिपल चौर,पिपलचौर,27.54444833,85.635045,पिपलचौर धनराे,spring,community,agriculture,"सिरु,कटारे,बन्सा",active,perennial,,,,,,cemented_tank,flowing,interface between rock and sediment,5,55,10,2,2,2,same,,,,,good,Same,yes,"drinking,livestock,household,agriculture,religious_purpose",30,Mixed,,,no_change,yes,same,same,no,,yes,,no,,,,yes,"source_protection,plantation",
120,Kavrepalanchowk,Namobuudha,1,Phoolbari,pyakurel gau,27.58416,85.60341833,Vadari ko padero,spring,public,agriculture,"Kalimunt ,bas",active,perennial,,,,,,open_kuwa,seepage,interface between rock and sediment,1,10,500,10,2,3,decreasing,,,,,good,improved,yes,"drinking,livestock,household,agriculture,religious_purpose",40,BCTS,,,Degraded,no,,,yes,puja garne,yes,,no,,,,no,,
121,Kavrepalanchowk,Namobuudha,1,Shyampati,Bajekhani,27.56872667,85.58967833,BajeKhani kuwa,spring,private,sparse_forest,"Amriso, Dudhilo, Kutmiro",dried,seasonal,2076,Earthquake,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Kavrepalanchowk,Namobuudha,1,Shyampati,Pandey Gaun,27.56795333,85.59291833,Pandey Gau Mul,spring,private,sparse_forest,"Utis, Unyau, Titepati",active,perennial,,,,,,open_kuwa,flowing,rock,1,10,500,15,4,4,same,,,,,good,no_change,yes,"drinking,livestock,household,agriculture,religious_purpose",25,BCTS,,,no_change,yes,same,same,no,,yes,,no,,,,yes,source_protection,
123,Kavrepalanchowk,Namobuudha,1,Shyampati,Khadka Gaun,27.559455,85.60094333,Khadka Gau Mul,spring,private,sparse_forest,"Banmara, Titepati, Utis",active,perennial,,,,,,open_kuwa,flowing,rock,2.25,15,500,25,2,3,decreasing,,,,,good,no_change,yes,"drinking,livestock,household,agriculture",20,BCTS,,,no_change,yes,same,same,no,,yes,,no,,,,yes,source_protection,
124,Kavrepalanchowk,Namobuudha,10,Simgaira,Simgaira,27.54363,85.59230333,Simgaira khanepani,spring,public,sparse_forest,"Utis,kalimunti,tittepati",active,perennial,,,,,,cemented_tank,seepage,interface between rock and sediment,1,55,200,15,7,18,decreasing,,,,,good,no_change,yes,"drinking,household,livestock",20,Janajati,,,Degraded,no,,,no,,yes,,no,,,,no,,
125,Kavrepalanchowk,Namobuudha,1,Narchale dada,Nachari dada,27.57020333,85.58507667,hiti daro,spring,private,settlement,"Uneu ,kali munte",active,seasonal,,,,,,open_kuwa,seepage,soil/sediment,1,40,500,10,2,5,decreasing,,,,,good,improved,yes,"livestock,household,",1,BCTS,,,no_change,yes,same,same,yes,puja garne,yes,,no,,,,no,,
126,Kavrepalanchowk,Namobuudha,5,नमोबुद्व नगरपालिका,पाटि चौउर  कालिमाटि,27.54548643,85.70922197,गणेश  धारा,spring,public,sparse_forest,"लालिगुरास,बास,तिमिला।",active,perennial,,,,,,open_kuwa,seepage,interface between rock and sediment,5,60,300,30,10,5,increasing,,,,,good,improved,yes,"drinking,household",70,Mixed,,,Improved,no,,,yes,छेमा पुजा,yes,,no,,,,yes,recharge_pond_construction,
